,words,values
0,months,-0.2712400901960816
1,return,-0.2587952381654776
2,card,-0.2483815931536949
3,tried,-0.24644922746470782
4,replacement,-0.21430391044163416
5,died,-0.2110762368776415
6,lost,-0.2103779663698727
7,back,-0.19938830829721702
8,different,-0.19432667791722957
9,even,-0.19295959292498227
10,failed,-0.18890329809633866
11,started,-0.18695874056864334
12,stopped,-0.18181237452849544
13,problem,-0.17994410067854832
14,bad,-0.17062120934358094
15,refund,-0.16469388205135177
16,would,-0.16430462543807933
17,dead,-0.16370639452933947
18,another,-0.163294392221602
19,andisk,-0.16193569069532057
