,words,values
0,orks,0.09119506055829303
1,great,0.08646370361379967
2,space,0.07886772289309282
3,price,0.06992387246604298
4,reat,0.06576267475851838
5,fast,0.06343953425366981
6,works,0.059884608702144015
7,storage,0.052205622161772464
8,highly,0.05038851281731832
9,room,0.04660837891838305
10,perfect,0.04606921139390982
11,plenty,0.04602138804877659
12,anyone,0.03978831342696572
13,tablet,0.03961062148368556
14,ighly,0.03880470797622464
15,holds,0.037987376492429406
16,capacity,0.03699148727061333
17,pleased,0.0367557976829551
18,extra,0.034901534496720656
19,xcellent,0.03335237010512976
