,words,values
0,great,0.11166857765676733
1,fast,0.08534150723353003
2,price,0.08264917229946439
3,reat,0.06062056595406172
4,excellent,0.0488186960745487
5,pleased,0.048449558487400145
6,beat,0.046702839307162174
7,room,0.0446623446566929
8,ighly,0.042968939662778705
9,recommend,0.041894495504309265
10,aspberry,0.0399398190669188
11,orks,0.03935583113763096
12,storage,0.037590727204049594
13,highly,0.036897419383044555
14,happy,0.036781066655126975
15,love,0.036448343935651606
16,tons,0.034079528386228776
17,capacity,0.03384594767654013
18,holds,0.03379504734635542
19,ove,0.033791683245722626
